Line,GEBV_biomassfinalplant,GEBV_biomassfinalplot,GEBV_fruitlength,GEBV_fruitno,GEBV_fruitshapeindex,GEBV_fruitweight,GEBV_fruitwidth,GEBV_leafangledaily,GEBV_leafareadaily,GEBV_leafareadailyplant,GEBV_leafareaprojecteddaily,GEBV_leafareaprojectedplant,GEBV_yield
GPC01069,-26616.03723,-95731924.85,1.532327134,-16.46204355,-0.394703907,17.07867102,1.239349058,-0.012997367,-1570.068845,-383.8312727,-870.6522365,-220.611187,0.258458428
GPC01070,-17174.60074,-65474866.56,0.2960929,-1.815336382,0.467648221,-1.654448699,-0.147589921,-0.002384238,-969.8390002,-233.1146942,-491.8779121,-116.7954351,-1.527184014
GPC01071,-23190.90686,-84992252.61,3.629702485,6.285533871,1.896836699,-3.199658589,-0.325769719,-0.00548065,-1472.256231,-346.6930982,-798.1472214,-201.5311102,-0.246472386
GPC01072,-29699.98325,-108442661.5,0.079386282,19.81211076,0.736328617,-8.967984019,-0.504753496,-0.019863793,-1268.428724,-290.9023527,-609.0752547,-153.3068516,-3.045548352
GPC01073,-35074.78025,-125780553.4,0.387024235,-15.07659958,-1.305269123,20.83022937,1.942858274,-0.036794457,-1671.822942,-412.1600638,-942.978035,-246.1211612,-0.320107684
GPC01074,-23784.77433,-91662880.5,0.653109853,-16.68935502,-1.464719649,25.11041367,1.5810335,-0.026243578,-1599.202131,-373.4768266,-911.5136991,-228.4748123,0.367025522
GPC01075,-29612.35642,-109509494.7,-1.462551198,-19.13417184,-1.989354846,20.44987279,1.856949808,-0.02622091,-1796.791116,-416.5980194,-963.3554944,-248.6795058,0.094597154
GPC01076,-29759.39349,-113306278.4,-2.990332558,-23.85631338,-2.62424567,23.20567665,2.23691497,-0.018052139,-1743.699388,-413.1224897,-893.3828649,-225.2679477,-0.054560604
GPC01077,-26313.00975,-101415634.8,1.270514684,-7.337203215,-1.18174677,17.92103144,1.240431962,-0.016593774,-1856.35749,-424.8188769,-1013.354932,-251.6111475,-0.292490154
GPC01078,-23135.24032,-89382354.69,3.030061588,-16.37443751,0.68051803,14.92685561,1.052879324,-0.015809877,-1754.695486,-409.060381,-1004.996058,-248.9041605,0.883155332
GPC01079,-22191.45069,-85231769.86,-3.281668242,-14.93417747,-3.083745044,22.34113417,2.410285853,-0.015254112,-1424.626296,-349.7820149,-734.825707,-183.5276854,-0.346079918
GPC01080,-21222.51692,-83706912.48,0.960556083,-16.1836378,-0.432949506,20.71184447,1.125326044,-0.012747672,-1520.430754,-339.151051,-873.0900542,-211.0303752,0.359565379
GPC01081,-28076.6299,-107188477.5,-4.713456026,-16.12693821,-2.811953702,22.7020842,2.384554887,-0.020327016,-1522.478815,-354.132025,-794.3586403,-198.9170196,-1.111559353
